Name,Code,Province,,,,
Alfred Nzo District Municipality,DC44,Eastern Cape,,,,
Amajuba District Municipality,DC25,KwaZulu-Natal,,,,
Amathole District Municipality,DC12,Eastern Cape,,,,
Bojanala District Municipality,DC37,North West,,,,
Buffalo City Metropolitan Municipality,BUF,Eastern Cape,,,,
Cape Winelands District Municipality,DC2,Western Cape,,,,
Capricorn District Municipality,DC35,Limpopo,,,,
Central Karoo District Municipality,DC5,Western Cape,,,,
Chris Hani District Municipality,DC13,Eastern Cape,,,,
City of Cape Town Metropolitan Municipality,CPT,Western Cape,,,,
City of Johannesburg Metropolitan Municipality,JHB,Gauteng,,,,
City of Tshwane Metropolitan Municipality,TSH,Gauteng,,,,
Dr Kenneth Kaunda District Municipality,DC40,North West,,,,
Dr Ruth Segomotsi Mompati District Municipality,DC39,North West,,,,
Ehlanzeni District Municipality,DC32,Mpumalanga,,,,
Ekurhuleni Metropolitan Municipality,EKU,Gauteng,,,,
eThekwini Metropolitan Municipality,ETH,KwaZulu-Natal,,,,
Fezile Dabi District Municipality,DC20,Free State,,,,
Frances Baard District Municipality,DC9,Northern Cape,,,,
Garden Route District Municipality,DC4,Western Cape,,,,
Gert Sibande District Municipality,DC30,Mpumalanga,,,,
Harry Gwala District Municipality,DC43,KwaZulu-Natal,,,,
iLembe District Municipality,DC29,KwaZulu-Natal,,,,
Joe Gqabi District Municipality,DC14,Eastern Cape,,,,
John Taolo Gaetsewe District Municipality,DC45,Northern Cape,,,,
King Cetshwayo District Municipality,DC28,KwaZulu-Natal,,,,
Lejweleputswa District Municipality,DC18,Free State,,,,
Mangaung Metropolitan Municipality,MAN,Free State,,,,
Mopani District Municipality,DC33,Limpopo,,,,
Namakwa District Municipality,DC6,Northern Cape,,,,
Nelson Mandela Bay Metropolitan Municipality,NMA,Eastern Cape,,,,
Ngaka Modiri Molema District Municipality,DC38,North West,,,,
Nkangala District Municipality,DC31,Mpumalanga,,,,
OR Tambo District Municipality,DC15,Eastern Cape,,,,
Overberg District Municipality,DC3,Western Cape,,,,
Pixley ka Seme District Municipality,DC7,Northern Cape,,,,
Sarah Baartman District Municipality,DC10,Eastern Cape,,,,
Sedibeng District Municipality,DC42,Gauteng,,,,
Sekhukhune District Municipality,DC47,Limpopo,,,,
Thabo Mofutsanyana District Municipality,DC19,Free State,,,,
Ugu District Municipality,DC21,KwaZulu-Natal,,,,
uMgungundlovu District Municipality,DC22,KwaZulu-Natal,,,,
uMkhanyakude District Municipality,DC27,KwaZulu-Natal,,,,
uMzinyathi District Municipality,DC24,KwaZulu-Natal,,,,
uThukela District Municipality,DC23,KwaZulu-Natal,,,,
Vhembe District Municipality,DC34,Limpopo,,,,
Waterberg District Municipality,DC36,Limpopo,,,,
West Coast District Municipality,DC1,Western Cape,,,,
West Rand District Municipality,DC48,Gauteng,,,,
Xhariep District Municipality,DC16,Free State,,,,
ZF Mgcawu District Municipality,DC8,Northern Cape,,,,
Zululand District Municipality,DC26,KwaZulu-Natal,,,,