Name,Code,Province,District,,,,
Abaqulusi Local Municipality,KZN263,KwaZulu-Natal,Zululand,,,,
Albert Luthuli Local Municipality,MP301,Mpumalanga,Gert Sibande,,,,
Alfred Duma Local Municipality,KZN238,KwaZulu-Natal,Uthukela,,,,
Amahlathi Local Municipality,EC124,Eastern Cape,Amathole,,,,
Ba-Phalaborwa Local Municipality,LIM334,Limpopo,Mopani,,,,
Beaufort West Local Municipality,WC053,Western Cape,Central Karoo,,,,
Bela-Bela Local Municipality,LIM366,Limpopo,Waterberg,,,,
Bergrivier Local Municipality,WC013,Western Cape,West Coast,,,,
Big Five Hlabisa Local Municipality,KZN276,KwaZulu-Natal,Umkhanyakude,,,,
Bitou Local Municipality,WC047,Western Cape,Garden Route,,,,
Blouberg Local Municipality,LIM351,Limpopo,Capricorn,,,,
Blue Crane Route Local Municipality,EC102,Eastern Cape,Sarah Baartman,,,,
Breede Valley Local Municipality,WC025,Western Cape,Cape Winelands,,,,
Buffalo City Metropolitan Municipality,BUF,Eastern Cape,,,,,
Bushbuckridge Local Municipality,MP325,Mpumalanga,Ehlanzeni,,,,
Cape Agulhas Local Municipality,WC033,Western Cape,Overberg,,,,
Cederberg Local Municipality,WC012,Western Cape,West Coast,,,,
City of Cape Town Metropolitan Municipality,CPT,Western Cape,,,,,
City of Johannesburg Metropolitan Municipality,JHB,Gauteng,,,,,
City of Matlosana Local Municipality,NW403,North West,Dr Kenneth Kaunda,,,,
City of Tshwane Metropolitan Municipality,TSH,Gauteng,,,,,
Collins Chabane Local Municipality,LIM345,Limpopo,Vhembe,,,,
Dannhauser Local Municipality,KZN254,KwaZulu-Natal,Amajuba,,,,
Dawid Kruiper Local Municipality,NC087,Northern Cape,ZF Mgcawu,,,,
Dihlabeng Local Municipality,FS192,Free State,Thabo Mofutsanyana,,,,
Dikgatlong Local Municipality,NC092,Northern Cape,Frances Baard,,,,
Dipaleseng Local Municipality,MP306,Mpumalanga,Gert Sibande,,,,
Ditsobotla Local Municipality,NW384,North West,Ngaka Modiri Molema,,,,
Dr Beyers Naudé Local Municipality,EC101,Eastern Cape,Sarah Baartman,,,,
Dr JS Moroka Local Municipality,MP316,Mpumalanga,Nkangala,,,,
Dr Nkosazana Dlamini Zuma Local Municipality,KZN436,KwaZulu-Natal,Harry Gwala,,,,
Drakenstein Local Municipality,WC023,Western Cape,Cape Winelands,,,,
eDumbe Local Municipality,KZN261,KwaZulu-Natal,Zululand,,,,
Ekurhuleni Metropolitan Municipality,EKU,Gauteng,,,,,
Elias Motsoaledi Local Municipality,LIM472,Limpopo,Sekhukhune,,,,
Elundini Local Municipality,EC141,Eastern Cape,Joe Gqabi,,,,
eMadlangeni Local Municipality,KZN253,KwaZulu-Natal,Amajuba,,,,
Emakhazeni Local Municipality,MP314,Mpumalanga,Nkangala,,,,
Emalahleni Local Municipality,EC136,Eastern Cape,Chris Hani,,,,
Emalahleni Local Municipality,MP312,Mpumalanga,Nkangala,,,,
Emfuleni Local Municipality,GT421,Gauteng,Sedibeng,,,,
Emthanjeni Local Municipality,NC073,Northern Cape,Pixley ka Seme,,,,
Endumeni Local Municipality,KZN241,KwaZulu-Natal,Umzinyathi,,,,
Engcobo Local Municipality,EC137,Eastern Cape,Chris Hani,,,,
Enoch Mgijima Local Municipality,EC139,Eastern Cape,Chris Hani,,,,
Ephraim Mogale Local Municipality,LIM471,Limpopo,Sekhukhune,,,,
eThekwini Metropolitan Municipality,ETH,KwaZulu-Natal,,,,,
Fetakgomo/Greater Tubatse Local Municipality,LIM476,Limpopo,Sekhukhune,,,,
Ga-Segonyana Local Municipality,NC452,Northern Cape,John Taolo Gaetsewe,,,,
Gamagara Local Municipality,NC453,Northern Cape,John Taolo Gaetsewe,,,,
George Local Municipality,WC044,Western Cape,Garden Route,,,,
Govan Mbeki Local Municipality,MP307,Mpumalanga,Gert Sibande,,,,
Great Kei Local Municipality,EC123,Eastern Cape,Amathole,,,,
Greater Giyani Local Municipality,LIM331,Limpopo,Mopani,,,,
Greater Kokstad Local Municipality,KZN433,KwaZulu-Natal,Harry Gwala,,,,
Greater Letaba Local Municipality,LIM332,Limpopo,Mopani,,,,
Greater Taung Local Municipality,NW394,North West,Dr Ruth Segomotsi Mompati,,,,
Greater Tzaneen Local Municipality,LIM333,Limpopo,Mopani,,,,
Hantam Local Municipality,NC065,Northern Cape,Namakwa,,,,
Hessequa Local Municipality,WC042,Western Cape,Garden Route,,,,
Impendle Local Municipality,KZN224,KwaZulu-Natal,uMgungundlovu,,,,
Ingquza Hill Local Municipality,EC153,Eastern Cape,OR Tambo,,,,
Inkosi Langalibalele Local Municipality,KZN237,KwaZulu-Natal,Uthukela,,,,
Intsika Yethu Local Municipality,EC135,Eastern Cape,Chris Hani,,,,
Inxuba Yethemba Local Municipality,EC131,Eastern Cape,Chris Hani,,,,
JB Marks Local Municipality,NW405,North West,Dr Kenneth Kaunda,,,,
Joe Morolong Local Municipality,NC451,Northern Cape,John Taolo Gaetsewe,,,,
Jozini Local Municipality,KZN272,KwaZulu-Natal,Umkhanyakude,,,,
Kagisano-Molopo Local Municipality,NW397,North West,Dr Ruth Segomotsi Mompati,,,,
Kai !Garib Local Municipality,NC082,Northern Cape,ZF Mgcawu,,,,
Kamiesberg Local Municipality,NC064,Northern Cape,Namakwa,,,,
Kannaland Local Municipality,WC041,Western Cape,Garden Route,,,,
Kareeberg Local Municipality,NC074,Northern Cape,Pixley ka Seme,,,,
Karoo Hoogland Local Municipality,NC066,Northern Cape,Namakwa,,,,
Kgatelopele Local Municipality,NC086,Northern Cape,ZF Mgcawu,,,,
Kgetlengrivier Local Municipality,NW374,North West,Bojanala,,,,
Khâi-Ma Local Municipality,NC067,Northern Cape,Namakwa,,,,
!Kheis Local Municipality,NC084,Northern Cape,ZF Mgcawu,,,,
King Sabata Dalindyebo Local Municipality,EC157,Eastern Cape,OR Tambo,,,,
Knysna Local Municipality,WC048,Western Cape,Garden Route,,,,
Kopanong Local Municipality,FS162,Free State,Xhariep,,,,
Kou-Kamma Local Municipality,EC109,Eastern Cape,Sarah Baartman,,,,
Kouga Local Municipality,EC108,Eastern Cape,Sarah Baartman,,,,
KwaDukuza Local Municipality,KZN292,KwaZulu-Natal,iLembe,,,,
Laingsburg Local Municipality,WC051,Western Cape,Central Karoo,,,,
Langeberg Local Municipality,WC026,Western Cape,Cape Winelands,,,,
Lekwa Local Municipality,MP305,Mpumalanga,Gert Sibande,,,,
Lekwa-Teemane Local Municipality,NW396,North West,Dr Ruth Segomotsi Mompati,,,,
Lepelle-Nkumpi Local Municipality,LIM355,Limpopo,Capricorn,,,,
Lephalale Local Municipality,LIM362,Limpopo,Waterberg,,,,
Lesedi Local Municipality,GT423,Gauteng,Sedibeng,,,,
Letsemeng Local Municipality,FS161,Free State,Xhariep,,,,
Madibeng Local Municipality,NW372,North West,Bojanala,,,,
Mafube Local Municipality,FS205,Free State,Fezile Dabi,,,,
Magareng Local Municipality,NC093,Northern Cape,Frances Baard,,,,
Mahikeng Local Municipality,NW383,North West,Ngaka Modiri Molema,,,,
Makana Local Municipality,EC104,Eastern Cape,Sarah Baartman,,,,
Makhado Local Municipality,LIM344,Limpopo,Vhembe,,,,
Makhuduthamaga Local Municipality,LIM473,Limpopo,Sekhukhune,,,,
Maluti-a-Phofung Local Municipality,FS194,Free State,Thabo Mofutsanyana,,,,
Mamusa Local Municipality,NW393,North West,Dr Ruth Segomotsi Mompati,,,,
Mandeni Local Municipality,KZN291,KwaZulu-Natal,iLembe,,,,
Mangaung Metropolitan Municipality,MAN,Free State,,,,,
Mantsopa Local Municipality,FS196,Free State,Thabo Mofutsanyana,,,,
Maphumulo Local Municipality,KZN294,KwaZulu-Natal,iLembe,,,,
Maquassi Hills Local Municipality,NW404,North West,Dr Kenneth Kaunda,,,,
Maruleng Local Municipality,LIM335,Limpopo,Mopani,,,,
Masilonyana Local Municipality,FS181,Free State,Lejweleputswa,,,,
Matatiele Local Municipality,EC441,Eastern Cape,Alfred Nzo,,,,
Matjhabeng Local Municipality,FS184,Free State,Lejweleputswa,,,,
Matzikama Local Municipality,WC011,Western Cape,West Coast,,,,
Mbhashe Local Municipality,EC121,Eastern Cape,Amathole,,,,
Mbizana Local Municipality,EC443,Eastern Cape,Alfred Nzo,,,,
Mbombela Local Municipality,MP326,Mpumalanga,Ehlanzeni,,,,
Merafong City Local Municipality,GT484,Gauteng,West Rand,,,,
Metsimaholo Local Municipality,FS204,Free State,Fezile Dabi,,,,
Mhlontlo Local Municipality,EC156,Eastern Cape,OR Tambo,,,,
Midvaal Local Municipality,GT422,Gauteng,Sedibeng,,,,
Mkhambathini Local Municipality,KZN226,KwaZulu-Natal,uMgungundlovu,,,,
Mkhondo Local Municipality,MP303,Mpumalanga,Gert Sibande,,,,
Mnquma Local Municipality,EC122,Eastern Cape,Amathole,,,,
Modimolle/Mookgophong Local Municipality,LIM368,Limpopo,Waterberg,,,,
Mogalakwena Local Municipality,LIM367,Limpopo,Waterberg,,,,
Mogale City Local Municipality,GT481,Gauteng,West Rand,,,,
Mohokare Local Municipality,FS163,Free State,Xhariep,,,,
Molemole Local Municipality,LIM353,Limpopo,Capricorn,,,,
Moqhaka Local Municipality,FS201,Free State,Fezile Dabi,,,,
Moretele Local Municipality,NW371,North West,Bojanala,,,,
Moses Kotane Local Municipality,NW375,North West,Bojanala,,,,
Mossel Bay Local Municipality,WC043,Western Cape,Garden Route,,,,
Mpofana Local Municipality,KZN223,KwaZulu-Natal,uMgungundlovu,,,,
Msinga Local Municipality,KZN244,KwaZulu-Natal,Umzinyathi,,,,
Msukaligwa Local Municipality,MP302,Mpumalanga,Gert Sibande,,,,
Msunduzi Local Municipality,KZN225,KwaZulu-Natal,uMgungundlovu,,,,
Mthonjaneni Local Municipality,KZN285,KwaZulu-Natal,King Cetshwayo,,,,
Mtubatuba Local Municipality,KZN275,KwaZulu-Natal,Umkhanyakude,,,,
Musina Local Municipality,LIM341,Limpopo,Vhembe,,,,
Nala Local Municipality,FS185,Free State,Lejweleputswa,,,,
Naledi Local Municipality,NW392,North West,Dr Ruth Segomotsi Mompati,,,,
Nama Khoi Local Municipality,NC062,Northern Cape,Namakwa,,,,
Ndlambe Local Municipality,EC105,Eastern Cape,Sarah Baartman,,,,
Ndwedwe Local Municipality,KZN293,KwaZulu-Natal,iLembe,,,,
Nelson Mandela Bay Metropolitan Municipality,NMA,Eastern Cape,,,,,
Newcastle Local Municipality,KZN252,KwaZulu-Natal,Amajuba,,,,
Ngqushwa Local Municipality,EC126,Eastern Cape,Amathole,,,,
Ngwathe Local Municipality,FS203,Free State,Fezile Dabi,,,,
Nkandla Local Municipality,KZN286,KwaZulu-Natal,King Cetshwayo,,,,
Nketoana Local Municipality,FS193,Free State,Thabo Mofutsanyana,,,,
Nkomazi Local Municipality,MP324,Mpumalanga,Ehlanzeni,,,,
Nongoma Local Municipality,KZN265,KwaZulu-Natal,Zululand,,,,
Nqutu Local Municipality,KZN242,KwaZulu-Natal,Umzinyathi,,,,
Ntabankulu Local Municipality,EC444,Eastern Cape,Alfred Nzo,,,,
Nyandeni Local Municipality,EC155,Eastern Cape,OR Tambo,,,,
Okhahlamba Local Municipality,KZN235,KwaZulu-Natal,Uthukela,,,,
Oudtshoorn Local Municipality,WC045,Western Cape,Garden Route,,,,
Overstrand Local Municipality,WC032,Western Cape,Overberg,,,,
Phokwane Local Municipality,NC094,Northern Cape,Frances Baard,,,,
Phumelela Local Municipality,FS195,Free State,Thabo Mofutsanyana,,,,
Pixley ka Seme Local Municipality,MP304,Mpumalanga,Gert Sibande,,,,
Polokwane Local Municipality,LIM354,Limpopo,Capricorn,,,,
Port St Johns Local Municipality,EC154,Eastern Cape,OR Tambo,,,,
Prince Albert Local Municipality,WC052,Western Cape,Central Karoo,,,,
Ramotshere Moiloa Local Municipality,NW385,North West,Ngaka Modiri Molema,,,,
Rand West City Local Municipality,GT485,Gauteng,West Rand,,,,
Ratlou Local Municipality,NW381,North West,Ngaka Modiri Molema,,,,
Ray Nkonyeni Local Municipality,KZN216,KwaZulu-Natal,Ugu,,,,
Raymond Mhlaba Local Municipality,EC129,Eastern Cape,Amathole,,,,
Renosterberg Local Municipality,NC075,Northern Cape,Pixley ka Seme,,,,
Richmond Local Municipality,KZN227,KwaZulu-Natal,uMgungundlovu,,,,
Richtersveld Local Municipality,NC061,Northern Cape,Namakwa,,,,
Rustenburg Local Municipality,NW373,North West,Bojanala,,,,
Sakhisizwe Local Municipality,EC138,Eastern Cape,Chris Hani,,,,
Saldanha Bay Local Municipality,WC014,Western Cape,West Coast,,,,
Senqu Local Municipality,EC142,Eastern Cape,Joe Gqabi,,,,
Setsoto Local Municipality,FS191,Free State,Thabo Mofutsanyana,,,,
Siyancuma Local Municipality,NC078,Northern Cape,Pixley ka Seme,,,,
Siyathemba Local Municipality,NC077,Northern Cape,Pixley ka Seme,,,,
Sol Plaatje Local Municipality,NC091,Northern Cape,Frances Baard,,,,
Stellenbosch Local Municipality,WC024,Western Cape,Cape Winelands,,,,
Steve Tshwete Local Municipality,MP313,Mpumalanga,Nkangala,,,,
Sundays River Valley Local Municipality,EC106,Eastern Cape,Sarah Baartman,,,,
Swartland Local Municipality,WC015,Western Cape,West Coast,,,,
Swellendam Local Municipality,WC034,Western Cape,Overberg,,,,
Thaba Chweu Local Municipality,MP321,Mpumalanga,Ehlanzeni,,,,
Thabazimbi Local Municipality,LIM361,Limpopo,Waterberg,,,,
Theewaterskloof Local Municipality,WC031,Western Cape,Overberg,,,,
Thembelihle Local Municipality,NC076,Northern Cape,Pixley ka Seme,,,,
Thembisile Hani Local Municipality,MP315,Mpumalanga,Nkangala,,,,
Thulamela Local Municipality,LIM343,Limpopo,Vhembe,,,,
Tokologo Local Municipality,FS182,Free State,Lejweleputswa,,,,
Tsantsabane Local Municipality,NC085,Northern Cape,ZF Mgcawu,,,,
Tswaing Local Municipality,NW382,North West,Ngaka Modiri Molema,,,,
Tswelopele Local Municipality,FS183,Free State,Lejweleputswa,,,,
Ubuhlebezwe Local Municipality,KZN434,KwaZulu-Natal,Harry Gwala,,,,
Ubuntu Local Municipality,NC071,Northern Cape,Pixley ka Seme,,,,
Ulundi Local Municipality,KZN266,KwaZulu-Natal,Zululand,,,,
Umdoni Local Municipality,KZN212,KwaZulu-Natal,Ugu,,,,
uMfolozi Local Municipality,KZN281,KwaZulu-Natal,King Cetshwayo,,,,
uMhlabuyalingana Local Municipality,KZN271,KwaZulu-Natal,Umkhanyakude,,,,
uMhlathuze Local Municipality,KZN282,KwaZulu-Natal,King Cetshwayo,,,,
uMlalazi Local Municipality,KZN284,KwaZulu-Natal,King Cetshwayo,,,,
uMngeni Local Municipality,KZN222,KwaZulu-Natal,uMgungundlovu,,,,
uMshwathi Local Municipality,KZN221,KwaZulu-Natal,uMgungundlovu,,,,
Umsobomvu Local Municipality,NC072,Northern Cape,Pixley ka Seme,,,,
uMuziwabantu Local Municipality,KZN214,KwaZulu-Natal,Ugu,,,,
Umvoti Local Municipality,KZN245,KwaZulu-Natal,Umzinyathi,,,,
Umzimkhulu Local Municipality,KZN435,KwaZulu-Natal,Harry Gwala,,,,
Umzimvubu Local Municipality,EC442,Eastern Cape,Alfred Nzo,,,,
Umzumbe Local Municipality,KZN213,KwaZulu-Natal,Ugu,,,,
uPhongolo Local Municipality,KZN262,KwaZulu-Natal,Zululand,,,,
Victor Khanye Local Municipality,MP311,Mpumalanga,Nkangala,,,,
Walter Sisulu Local Municipality,EC145,Eastern Cape,Joe Gqabi,,,,
Witzenberg Local Municipality,WC022,Western Cape,Cape Winelands,,,,